gene_name,SRR34947105,SRR34947106,SRR34947115,SRR34947116,SRR34947127,SRR34947128,SRR34947132,SRR34947133
ADAM22,6,4,1,2,16,4,18,12
SYPL1,63,27,148,112,216,70,216,280
CYB561,19,10,95,108,34,12,80,102
SPAG9,155,118,452,380,641,170,1016,841
CELSR3,7,5,35,14,64,5,107,93
AASS,36,24,123,98,211,74,299,337
PLEKHG6,1,2,1,0,0,0,1,3
SS18L2,191,183,228,271,500,147,641,738
MPND,3,5,5,5,13,0,18,33
MGST1,323,230,205,190,784,214,1924,2036
CRY1,12,4,38,29,30,19,59,60
PGLYRP1,0,0,0,0,0,0,0,0
NFIX,0,0,140,118,0,0,3,1
ST3GAL1,15,4,75,87,35,8,30,36
MMP25,0,0,3,1,7,0,2,7
IL32,45,25,92,95,114,36,98,41
PKD1,1,2,57,71,50,8,68,73
MAPK8IP2,9,2,6,25,25,7,66,51
MED24,43,19,67,73,116,29,203,169
RHOBTB2,10,5,12,16,33,1,75,45
HEATR5B,6,3,41,32,34,13,55,50
SEC62,207,151,983,731,635,153,892,876
RPS20,3879,3132,9110,9627,5368,1729,14452,14545
CSDE1,535,363,1952,1425,1879,515,3204,2905
UBE3C,21,10,92,112,61,13,103,84
REV3L,26,15,151,130,56,24,113,142
TENM1,0,0,0,0,0,0,0,0
PAX7,2,0,1,0,34,6,59,50
MASP2,6,0,2,0,2,2,5,6
IYD,0,0,0,0,0,0,0,0
FAM76A,19,27,54,54,49,25,114,80
TRAF3IP3,0,0,0,1,0,0,0,0
POMT2,11,12,34,39,35,20,77,77
VTA1,223,161,666,421,417,144,602,481
MLXIPL,0,0,0,0,2,2,0,0
BAZ1B,137,69,217,198,503,167,706,645
RANBP9,13,8,50,55,47,7,56,62
ETV7,0,0,5,0,7,1,0,0
SPRTN,17,7,86,55,71,25,100,79
METTL13,34,28,117,95,110,36,168,175
DYRK4,32,22,97,98,78,14,109,128
ZNF207,43,42,149,154,173,48,285,275
UQCRC1,250,184,886,836,1378,366,2281,2507
STARD3NL,156,120,225,176,363,92,518,477
CD9,78,53,29,30,235,70,289,347
HHATL,0,0,1,1,0,0,0,0
NCAPD2,78,54,90,55,233,67,456,380
IFFO1,4,2,24,29,26,11,29,46
GIPR,1,0,6,5,2,0,1,0
PHF7,2,2,11,3,14,3,26,15
SEMA3G,0,0,0,0,0,0,0,0
NISCH,35,35,198,186,213,32,322,281
STAB1,0,0,0,0,0,0,0,0
FUZ,47,49,51,74,142,24,210,258
SLC6A13,0,0,0,2,1,0,1,1
IDS,50,43,202,136,153,32,155,97
PRSS3,0,0,0,1,0,0,0,0
ZNF200,9,7,40,44,67,15,89,83
CD4,1,0,16,13,2,1,1,0
LRRC23,3,0,36,43,17,3,22,27
BTK,0,2,0,0,0,0,0,0
HFE,0,0,14,9,1,0,3,0
SCMH1,17,14,88,46,121,36,151,147
FYN,38,22,55,79,95,40,134,120
HIVEP2,6,2,78,64,34,1,18,21
FMO1,0,0,333,265,0,0,5,1
ELOA,80,68,405,253,374,85,664,572
LYPLA2,41,24,170,149,142,29,254,226
CLCN6,14,13,89,72,72,20,145,133
MRC2,15,14,499,594,135,24,136,167
NME1-NME2,0,0,0,0,0,0,0,0
SLC6A7,0,0,0,0,0,0,0,0
TSPAN9,13,3,75,89,27,12,58,36
BTBD7,7,5,79,94,58,16,55,59
APBA3,15,14,54,38,71,10,57,79
MKS1,8,5,12,22,46,11,50,55
ABHD5,14,16,42,47,63,19,98,93
ANOS1,14,1,2,5,80,27,28,39
AKAP8L,55,26,236,199,153,49,309,303
MBTD1,10,3,19,13,20,7,46,42
UTP18,21,11,21,16,51,15,73,76
RNF216,92,74,505,413,410,124,496,553
TTC19,69,38,166,117,251,38,375,347
PTBP1,118,95,309,276,709,199,1225,1134
DPF1,21,20,17,11,75,19,118,112
SYT7,0,0,3,8,9,4,12,3
LARS2,32,26,97,68,79,22,148,141
PIK3C2A,67,25,169,125,225,63,251,223
PLAUR,5,6,386,350,36,12,53,40
ANLN,41,26,85,53,125,31,159,145
WIZ,14,14,46,77,84,39,118,145
RABGAP1,30,24,176,144,158,27,247,241
DCN,11,9,12120,8577,125,30,1019,750
QPCTL,5,4,28,15,22,6,27,19
PPP5C,97,88,150,121,398,90,575,552
CEP68,34,20,71,29,66,26,177,180
MAP4K3,14,6,122,62,79,19,110,83
ZBTB32,0,0,1,1,1,0,0,2
TYROBP,0,0,1,0,0,0,0,1
LDAF1,30,16,178,200,143,35,324,260
GABRA3,3,0,0,0,0,0,1,3
BRCA1,42,53,37,30,242,75,389,400
ERCC1,143,104,267,210,381,111,552,615
CD22,0,0,0,0,0,0,0,0
SEMA3B,2,0,147,154,9,3,18,14
MBTPS2,16,11,95,52,113,42,73,78
PRICKLE3,1,0,15,14,2,1,0,0
LTF,0,1,0,0,0,0,0,0
EXTL3,57,43,263,258,240,59,423,321
NR1H4,0,0,0,0,0,0,0,0
ELOVL5,88,53,496,355,450,129,676,765
ALOX5,0,0,0,0,0,0,0,0
KDM5D,8,11,36,32,0,0,0,0
CALCOCO1,9,1,67,50,45,10,29,26
UBR7,10,13,13,24,45,23,80,80
MAP4K5,35,18,205,137,95,31,179,156
EHD3,9,9,52,59,54,15,80,76
PSMC4,105,100,453,365,433,151,772,848
MAN2B2,15,9,122,101,56,12,56,58
